STATION,NAME,DATE,TMAX,TMIN
USC00190998,"BUFFUMVILLE LAKE, MA US",5/1/1959,52,38
USC00190998,"BUFFUMVILLE LAKE, MA US",5/2/1959,61,35
USC00190998,"BUFFUMVILLE LAKE, MA US",5/3/1959,63,38
USC00190998,"BUFFUMVILLE LAKE, MA US",5/4/1959,68,34
USC00190998,"BUFFUMVILLE LAKE, MA US",5/5/1959,72,37
USC00190998,"BUFFUMVILLE LAKE, MA US",5/6/1959,72,39
USC00190998,"BUFFUMVILLE LAKE, MA US",5/7/1959,78,44
USC00190998,"BUFFUMVILLE LAKE, MA US",5/8/1959,73,49
USC00190998,"BUFFUMVILLE LAKE, MA US",5/9/1959,64,31
USC00190998,"BUFFUMVILLE LAKE, MA US",5/10/1959,70,36
USC00190998,"BUFFUMVILLE LAKE, MA US",5/11/1959,74,50
USC00190998,"BUFFUMVILLE LAKE, MA US",5/12/1959,84,57
USC00190998,"BUFFUMVILLE LAKE, MA US",5/13/1959,88,59
USC00190998,"BUFFUMVILLE LAKE, MA US",5/14/1959,72,52
USC00190998,"BUFFUMVILLE LAKE, MA US",5/15/1959,67,42
USC00190998,"BUFFUMVILLE LAKE, MA US",5/16/1959,56,38
USC00190998,"BUFFUMVILLE LAKE, MA US",5/17/1959,58,37
USC00190998,"BUFFUMVILLE LAKE, MA US",5/18/1959,58,36
USC00190998,"BUFFUMVILLE LAKE, MA US",5/19/1959,70,42
USC00190998,"BUFFUMVILLE LAKE, MA US",5/20/1959,70,51
USC00190998,"BUFFUMVILLE LAKE, MA US",5/21/1959,89,57
USC00190998,"BUFFUMVILLE LAKE, MA US",5/22/1959,89,63
USC00190998,"BUFFUMVILLE LAKE, MA US",5/23/1959,90,56
USC00190998,"BUFFUMVILLE LAKE, MA US",5/24/1959,74,46
USC00190998,"BUFFUMVILLE LAKE, MA US",5/25/1959,62,37
USC00190998,"BUFFUMVILLE LAKE, MA US",5/26/1959,74,41
USC00190998,"BUFFUMVILLE LAKE, MA US",5/27/1959,77,50
USC00190998,"BUFFUMVILLE LAKE, MA US",5/28/1959,86,58
USC00190998,"BUFFUMVILLE LAKE, MA US",5/29/1959,90,59
USC00190998,"BUFFUMVILLE LAKE, MA US",5/30/1959,85,60
USC00190998,"BUFFUMVILLE LAKE, MA US",5/31/1959,86,62
USC00190998,"BUFFUMVILLE LAKE, MA US",6/1/1959,72,45
USC00190998,"BUFFUMVILLE LAKE, MA US",6/2/1959,72,54
USC00190998,"BUFFUMVILLE LAKE, MA US",6/3/1959,64,52
USC00190998,"BUFFUMVILLE LAKE, MA US",6/4/1959,78,55
USC00190998,"BUFFUMVILLE LAKE, MA US",6/5/1959,82,52
USC00190998,"BUFFUMVILLE LAKE, MA US",6/6/1959,79,52
USC00190998,"BUFFUMVILLE LAKE, MA US",6/7/1959,83,49
USC00190998,"BUFFUMVILLE LAKE, MA US",6/8/1959,74,56
USC00190998,"BUFFUMVILLE LAKE, MA US",6/9/1959,84,58
USC00190998,"BUFFUMVILLE LAKE, MA US",6/10/1959,91,55
USC00190998,"BUFFUMVILLE LAKE, MA US",6/11/1959,91,61
USC00190998,"BUFFUMVILLE LAKE, MA US",6/12/1959,72,48
USC00190998,"BUFFUMVILLE LAKE, MA US",6/13/1959,71,54
USC00190998,"BUFFUMVILLE LAKE, MA US",6/14/1959,73,51
USC00190998,"BUFFUMVILLE LAKE, MA US",6/15/1959,56,44
USC00190998,"BUFFUMVILLE LAKE, MA US",6/16/1959,55,45
USC00190998,"BUFFUMVILLE LAKE, MA US",6/17/1959,58,47
USC00190998,"BUFFUMVILLE LAKE, MA US",6/18/1959,52,47
USC00190998,"BUFFUMVILLE LAKE, MA US",6/19/1959,63,52
USC00190998,"BUFFUMVILLE LAKE, MA US",6/20/1959,62,45
USC00190998,"BUFFUMVILLE LAKE, MA US",6/21/1959,80,54
USC00190998,"BUFFUMVILLE LAKE, MA US",6/22/1959,83,53
USC00190998,"BUFFUMVILLE LAKE, MA US",6/23/1959,75,61
USC00190998,"BUFFUMVILLE LAKE, MA US",6/24/1959,79,49
USC00190998,"BUFFUMVILLE LAKE, MA US",6/25/1959,76,58
USC00190998,"BUFFUMVILLE LAKE, MA US",6/26/1959,65,60
USC00190998,"BUFFUMVILLE LAKE, MA US",6/27/1959,79,58
USC00190998,"BUFFUMVILLE LAKE, MA US",6/28/1959,69,58
USC00190998,"BUFFUMVILLE LAKE, MA US",6/29/1959,67,59
USC00190998,"BUFFUMVILLE LAKE, MA US",6/30/1959,93,64
USC00190998,"BUFFUMVILLE LAKE, MA US",7/1/1959,89,61
USC00190998,"BUFFUMVILLE LAKE, MA US",7/2/1959,73,58
USC00190998,"BUFFUMVILLE LAKE, MA US",7/3/1959,81,52
USC00190998,"BUFFUMVILLE LAKE, MA US",7/4/1959,80,49
USC00190998,"BUFFUMVILLE LAKE, MA US",7/5/1959,83,51
USC00190998,"BUFFUMVILLE LAKE, MA US",7/6/1959,80,57
USC00190998,"BUFFUMVILLE LAKE, MA US",7/7/1959,78,56
USC00190998,"BUFFUMVILLE LAKE, MA US",7/8/1959,77,51
USC00190998,"BUFFUMVILLE LAKE, MA US",7/9/1959,85,52
USC00190998,"BUFFUMVILLE LAKE, MA US",7/10/1959,85,59
USC00190998,"BUFFUMVILLE LAKE, MA US",7/11/1959,84,66
USC00190998,"BUFFUMVILLE LAKE, MA US",7/12/1959,85,65
USC00190998,"BUFFUMVILLE LAKE, MA US",7/13/1959,74,67
USC00190998,"BUFFUMVILLE LAKE, MA US",7/14/1959,82,66
USC00190998,"BUFFUMVILLE LAKE, MA US",7/15/1959,73,63
USC00190998,"BUFFUMVILLE LAKE, MA US",7/16/1959,66,60
USC00190998,"BUFFUMVILLE LAKE, MA US",7/17/1959,77,57
USC00190998,"BUFFUMVILLE LAKE, MA US",7/18/1959,86,62
USC00190998,"BUFFUMVILLE LAKE, MA US",7/19/1959,84,66
USC00190998,"BUFFUMVILLE LAKE, MA US",7/20/1959,85,70
USC00190998,"BUFFUMVILLE LAKE, MA US",7/21/1959,80,68
USC00190998,"BUFFUMVILLE LAKE, MA US",7/22/1959,84,69
USC00190998,"BUFFUMVILLE LAKE, MA US",7/23/1959,89,66
USC00190998,"BUFFUMVILLE LAKE, MA US",7/24/1959,89,71
USC00190998,"BUFFUMVILLE LAKE, MA US",7/25/1959,87,68
USC00190998,"BUFFUMVILLE LAKE, MA US",7/26/1959,78,53
USC00190998,"BUFFUMVILLE LAKE, MA US",7/27/1959,83,56
USC00190998,"BUFFUMVILLE LAKE, MA US",7/28/1959,86,58
USC00190998,"BUFFUMVILLE LAKE, MA US",7/29/1959,91,64
USC00190998,"BUFFUMVILLE LAKE, MA US",7/30/1959,90,67
USC00190998,"BUFFUMVILLE LAKE, MA US",7/31/1959,86,67
USC00190998,"BUFFUMVILLE LAKE, MA US",8/1/1959,81,70
USC00190998,"BUFFUMVILLE LAKE, MA US",8/2/1959,86,52
USC00190998,"BUFFUMVILLE LAKE, MA US",8/3/1959,77,47
USC00190998,"BUFFUMVILLE LAKE, MA US",8/4/1959,77,49
USC00190998,"BUFFUMVILLE LAKE, MA US",8/5/1959,80,55
USC00190998,"BUFFUMVILLE LAKE, MA US",8/6/1959,67,58
USC00190998,"BUFFUMVILLE LAKE, MA US",8/7/1959,73,58
USC00190998,"BUFFUMVILLE LAKE, MA US",8/8/1959,80,59
USC00190998,"BUFFUMVILLE LAKE, MA US",8/9/1959,84,63
USC00190998,"BUFFUMVILLE LAKE, MA US",8/10/1959,71,62
USC00190998,"BUFFUMVILLE LAKE, MA US",8/11/1959,75,64
USC00190998,"BUFFUMVILLE LAKE, MA US",8/12/1959,83,56
USC00190998,"BUFFUMVILLE LAKE, MA US",8/13/1959,86,59
USC00190998,"BUFFUMVILLE LAKE, MA US",8/14/1959,89,61
USC00190998,"BUFFUMVILLE LAKE, MA US",8/15/1959,88,61
USC00190998,"BUFFUMVILLE LAKE, MA US",8/16/1959,93,64
USC00190998,"BUFFUMVILLE LAKE, MA US",8/17/1959,91,70
USC00190998,"BUFFUMVILLE LAKE, MA US",8/18/1959,91,72
USC00190998,"BUFFUMVILLE LAKE, MA US",8/19/1959,87,61
USC00190998,"BUFFUMVILLE LAKE, MA US",8/20/1959,86,59
USC00190998,"BUFFUMVILLE LAKE, MA US",8/21/1959,89,63
USC00190998,"BUFFUMVILLE LAKE, MA US",8/22/1959,92,61
USC00190998,"BUFFUMVILLE LAKE, MA US",8/23/1959,82,49
USC00190998,"BUFFUMVILLE LAKE, MA US",8/24/1959,73,56
USC00190998,"BUFFUMVILLE LAKE, MA US",8/25/1959,66,56
USC00190998,"BUFFUMVILLE LAKE, MA US",8/26/1959,85,55
USC00190998,"BUFFUMVILLE LAKE, MA US",8/27/1959,88,61
USC00190998,"BUFFUMVILLE LAKE, MA US",8/28/1959,92,64
USC00190998,"BUFFUMVILLE LAKE, MA US",8/29/1959,92,68
USC00190998,"BUFFUMVILLE LAKE, MA US",8/30/1959,89,66
USC00190998,"BUFFUMVILLE LAKE, MA US",8/31/1959,74,68
USC00190998,"BUFFUMVILLE LAKE, MA US",9/1/1959,82,73
USC00190998,"BUFFUMVILLE LAKE, MA US",9/2/1959,83,72
USC00190998,"BUFFUMVILLE LAKE, MA US",9/3/1959,82,69
USC00190998,"BUFFUMVILLE LAKE, MA US",9/4/1959,84,69
USC00190998,"BUFFUMVILLE LAKE, MA US",9/5/1959,84,55
USC00190998,"BUFFUMVILLE LAKE, MA US",9/6/1959,87,57
USC00190998,"BUFFUMVILLE LAKE, MA US",9/7/1959,88,55
USC00190998,"BUFFUMVILLE LAKE, MA US",9/8/1959,84,57
USC00190998,"BUFFUMVILLE LAKE, MA US",9/9/1959,88,63
USC00190998,"BUFFUMVILLE LAKE, MA US",9/10/1959,86,60
